2020,2021,2022,date,2023
0.0,0.0,0.18,1/1/23,
0.0,3.11,1.19,2/1/23,0.0
0.0,23.0,1.85,3/1/23,9.01
0.08,39.85,1.95,4/1/23,20.95
0.08,43.83,13.19,5/1/23,22.61
1.72,44.02,31.69,6/1/23,
1.76,44.5,71.88,7/1/23,
1.76,44.5,71.88,8/1/23,
4.18,44.5,72.26,9/1/23,
4.39,44.5,72.78,10/1/23,
5.19,44.5,82.31,11/1/23,
6.04,44.89,89.33,12/1/23,
6.04,44.89,90.22,13/1/23,
6.12,44.89,90.28,14/1/23,
7.22,44.89,97.16,15/1/23,
14.97,44.89,97.43,16/1/23,
22.22,44.89,98.08,17/1/23,
22.54,44.89,98.77,18/1/23,
22.54,44.89,99.35,19/1/23,
76.09,44.89,99.76,20/1/23,
76.11,44.89,99.79,21/1/23,
76.15,44.89,99.81,22/1/23,
76.27,44.89,99.81,23/1/23,
83.68,44.89,99.81,24/1/23,
83.68,44.89,99.81,25/1/23,
83.68,56.53,99.81,26/1/23,
83.68,62.06,99.81,27/1/23,
83.74,78.9,99.83,28/1/23,
83.76,104.0,116.4,29/1/23,
83.88,122.21,117.61,30/1/23,
84.0,125.28,117.93,31/1/23,
84.0,142.54,118.05,1/2/23,
85.91,159.03,119.36,2/2/23,
86.56,159.03,121.97,3/2/23,
86.56,159.03,126.19,4/2/23,
86.56,159.2,132.41,5/2/23,
87.28,159.65,132.41,6/2/23,
111.97,159.65,147.01,7/2/23,
138.09,165.26,148.84,8/2/23,
229.48,168.22,148.88,9/2/23,
279.48,170.16,167.41,10/2/23,
286.1,170.16,167.81,11/2/23,
286.67,170.53,171.94,12/2/23,
298.38,170.57,172.04,13/2/23,
298.5,170.57,172.04,14/2/23,
309.28,170.9,172.06,15/2/23,
310.07,177.09,172.1,16/2/23,
311.11,177.16,172.16,17/2/23,
312.61,179.05,172.16,18/2/23,
313.12,183.28,172.16,19/2/23,
313.16,183.32,172.2,20/2/23,
314.3,183.32,172.47,21/2/23,
314.55,185.81,174.99,22/2/23,
314.57,185.81,182.09,23/2/23,
314.57,186.62,188.76,24/2/23,
314.61,187.44,220.94,25/2/23,
314.65,187.44,228.22,26/2/23,
314.65,187.44,235.07,27/2/23,
314.79,187.44,243.24,28/2/23,
314.79,187.44,261.2,1/3/23,
314.91,187.44,318.89,2/3/23,
315.03,187.57,337.64,3/3/23,
315.03,187.59,347.14,4/3/23,
345.65,187.59,348.08,5/3/23,
363.19,187.59,349.55,6/3/23,
363.57,188.3,350.23,7/3/23,
365.47,188.3,350.67,8/3/23,
365.51,188.35,350.95,9/3/23,
365.65,191.22,351.11,10/3/23,
366.23,193.6,351.23,11/3/23,
