Location,Last Week,This Week,Harvest Area
Angry Man Point,,,Rocky Point
Double Bay,9.592289562289562,6.252063197026023,Waterfall
Wray Street,20.33668730650155,20.41961474036851,Moonlight
Rocky Point,19.60401826484018,19.039179487179485,Rocky Point
Waterfall Creek,18.429510961214167,17.274345454545454,Rocky Point
Buckenbowra Creek,12.441605351170567,11.379357277882798,Waterfall
Chinamans Point,15.057430340557277,13.76499127399651,Rocky Point
Big Island West,10.44940199335548,9.083837638376384,Waterfall
Moonlight,19.717149253731343,20.16032840722496,Moonlight
Snapper Point,,,Moonlight
Budd Island North,18.868045112781957,18.815285234899328,Moonlight
