Location,Last Week,This Week,Harvest Area
Angry Man Point,23.193343898573698,23.423022151898735,Rocky Point
Double Bay,23.937992351816444,24.16522281639929,Waterfall
Wray Street,21.863966101694913,21.889059233449476,Moonlight
Rocky Point,22.661862891207154,22.72414373088685,Rocky Point
Waterfall Creek,23.638236331569665,23.461069518716577,Rocky Point
Buckenbowra Creek,23.52690972222222,23.64844606946984,Waterfall
Chinamans Point,23.12590163934426,23.34306368330465,Rocky Point
Big Island West,23.486875,23.91741176470589,Waterfall
Moonlight,22.118628912071536,22.08071755725191,Moonlight
Snapper Point,22.54655375552283,22.56923192771084,Moonlight
Budd Island North,22.36040152963671,22.304468864468863,Moonlight
