Date,2022,2021,2020,2019,2018
1/1/22,452.172,198.663,0,93.479,17.046
2/1/22,904.344,418.813,0,176.768,34.092
3/1/22,1301.293,720.117,0,252.264,50.858
4/1/22,1664.093,1586.007,0,320.855,70.156
5/1/22,1996.536,2467.722,0,388.808,87.391
6/1/22,2429.302,3268.246,0,460.234,102.964
7/1/22,4929.933,4011.294,0,530.309,118.117
8/1/22,9171.581,4907.761,0,616.503,133.404
9/1/22,16305.656,5705.786,0,700.048,148.325
10/1/22,19524.952,6258.824,0,825.489,162.859
11/1/22,21682.83,6668.374,0,971.92,177.652
12/1/22,27799.069,6988.982,0,1143.161,191.023
13/1/22,39701.153,7250.271,0,1319.666,204.478
14/1/22,49631.001,7471.825,0,1471.708,223.947
15/1/22,56068.292,7660.811,0,1586.978,248.939
16/1/22,60046.013,7823.915,0,1679.156,300.167
17/1/22,62807.595,7964.297,0,1759.767,383.63
18/1/22,64993.98,8087.794,0,1846.369,447.906
19/1/22,66817.897,8199.184,0,1967.442,488.824
20/1/22,68877.828,8300.521,0,2120.391,518.581
21/1/22,71142.41,8394.258,0,2238.598,543.03
22/1/22,72836.487,8482.454,0,2338.282,564.208
23/1/22,74233.355,8565.747,0,2424.692,582.777
24/1/22,75462.663,8643.6,0,2499.374,599.268
25/1/22,76581.334,8716.993,0,2564.51,614.105
26/1/22,77610.042,8787.035,0,2622.859,627.479
27/1/22,78520.599,8869.601,0,2678.408,639.249
28/1/22,79309.921,9050.356,0,2732.076,649.167
29/1/22,80006.111,9727.648,0,2806.167,657.74
30/1/22,81805.476,12463.072,0,3027.581,664.878
31/1/22,84845.104,14331.487,0,3242.697,670.623
1/2/22,86688.315,15825.311,0,3385.181,675.78
2/2/22,88149.699,19806.158,0,3492.682,679.769
3/2/22,89403.505,22994.227,0,3591.075,683.009
4/2/22,90578.101,24743.237,0,3717.068,686.314
5/2/22,91630.038,25976.571,0,3845.546,690.214
6/2/22,92720.854,26929.523,0,4311.225,693.477
7/2/22,93707.755,27661.001,0,4766.618,696.172
8/2/22,94608.906,28248.36,0,5277.283,698.443
9/2/22,95737.251,28781.484,16508.265,5912.829,700.517
10/2/22,96759.43,29290.271,188731.375,6280.117,702.507
11/2/22,97630.647,29949.398,204043.826,6514.27,704.388
12/2/22,98592.184,30468.491,209913.322,6683.204,706.156
13/2/22,99529.429,30884.871,221439.43,6813.644,707.723
14/2/22,100450.199,31315.356,229614.003,6916.199,709.225
15/2/22,101254.353,31724.253,232969.288,7002.805,710.686
16/2/22,101933.125,32207.853,235659.363,7078.806,712.094
17/2/22,102521.447,34738.134,238322.978,7146.146,713.463
18/2/22,103041.54,36202.842,240433.411,7205.783,714.744
19/2/22,103510.04,37290.742,241919.871,7259.038,715.86
20/2/22,103950.801,38287.251,243036.675,7306.481,717.212
21/2/22,104376.3,39080.576,243878.191,7350.425,719.366
22/2/22,104757.009,39692.008,244538.513,7391.712,721.157
