Date,2022,Quality
2022/01/01,476.46,140
2022/01/02,888.873,140
2022/01/03,1261.827,140
2022/01/04,1604.7939999999999,140
2022/01/05,1954.7759999999998,140
2022/01/06,3696.844,140
2022/01/07,6518.514,140
2022/01/08,14403.028,140
2022/01/09,18345.168,140
2022/01/10,20746.203,140
2022/01/11,23092.626,140
2022/01/12,36828.994,140
2022/01/13,45319.032999999996,140
2022/01/14,54044.975999999995,140
2022/01/15,58610.884,140
2022/01/16,61684.056,140
2022/01/17,64029.034999999996,140
2022/01/18,65941.51699999999,140
2022/01/19,67893.109,140
2022/01/20,70148.613,140
2022/01/21,72032.112,140
2022/01/22,73505.129,140
2022/01/23,74781.655,140
2022/01/24,75934.523,140
2022/01/25,76991.981,140
2022/01/26,77946.485,140
2022/01/27,78773.231,140
2022/01/28,79496.905,140
2022/01/29,80235.762,140
2022/01/30,83760.36,140
2022/01/31,85852.384,140
2022/02/01,87411.23400000001,140
2022/02/02,88700.82,140
2022/02/03,89919.221,140
2022/02/04,90999.159,140
2022/02/05,92072.825,140
2022/02/06,93115.848,140
2022/02/07,94008.014,140
2022/02/08,95073.026,140
2022/02/09,96152.038,140
2022/02/10,97065.513,140
2022/02/11,97969.369,140
2022/02/12,98948.50700000001,140
2022/02/13,99860.15800000001,140
2022/02/14,100715.873,140
2022/02/15,101433.26800000001,140
2022/02/16,102049.07600000002,140
2022/02/17,102590.53800000002,140
2022/02/18,103073.95600000002,140
2022/02/19,103518.69300000001,140
2022/02/20,103955.04900000001,140
2022/02/21,104350.08800000002,140
2022/02/22,104712.42000000001,140
2022/02/23,106118.26000000001,140
2022/02/24,112929.24500000001,140
2022/02/25,117283.63700000002,140
2022/02/26,130456.71100000001,140
2022/02/27,139042.049,140
2022/02/28,144604.619,140
2022/03/01,151654.34,140
2022/03/02,184338.505,145
2022/03/03,284573.262,145
2022/03/04,325983.368,145
2022/03/05,342995.968,145
2022/03/06,359733.663,145
2022/03/07,414384.74199999997,145
2022/03/08,528966.632,145
2022/03/09,581624.285,140
2022/03/10,595107.191,140
2022/03/11,602221.607,140
2022/03/12,607208.923,140
2022/03/13,611035.446,140
2022/03/14,614072.049,140
2022/03/15,616665.81,140
2022/03/16,618930.023,140
2022/03/17,620968.2540000001,140
2022/03/18,622802.373,140
2022/03/19,624913.534,140
2022/03/20,627296.975,140
2022/03/21,628974.243,140
2022/03/22,630404.4010000001,140
2022/03/23,631694.6780000001,140
2022/03/24,632890.6910000001,140
2022/03/25,634038.6250000001,140
2022/03/26,635437.7400000001,140
2022/03/27,637136.3430000001,140
2022/03/28,639179.4330000001,140
2022/03/29,641108.979,140
2022/03/30,645520.9770000001,140
2022/03/31,649095.3060000001,140
2022/04/01,653368.9270000001,140
2022/04/02,655850.5880000001,140
2022/04/03,657891.0150000001,140
2022/04/04,659560.7670000001,140
2022/04/05,660923.3110000001,140
2022/04/06,662679.251,140
2022/04/07,681494.508,140
2022/04/08,706238.1610000001,140
2022/04/09,730922.0090000001,140
2022/04/10,741256.6630000001,140
2022/04/11,747064.951,140
2022/04/12,751439.983,140
2022/04/13,754791.5160000001,140
2022/04/14,757451.6810000001,140
2022/04/15,759717.2740000001,140
2022/04/16,761702.4590000001,140
2022/04/17,763448.3530000001,140
2022/04/18,765012.9900000001,140
2022/04/19,766430.2300000001,140
2022/04/20,767780.6940000001,140
2022/04/21,769054.9550000002,140
2022/04/22,770199.1980000002,140
2022/04/23,771262.6220000002,140
2022/04/24,772262.6250000002,140
2022/04/25,773198.7370000002,140
2022/04/26,774087.6270000002,140
2022/04/27,774948.3320000002,140
2022/04/28,775796.0840000001,140
2022/04/29,776610.5250000001,140
2022/04/30,777368.1820000001,140
2022/05/01,778123.7020000002,140
2022/05/02,778831.8850000001,255
